pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-01 20:44:33+00:00,2022-09-01 21:06:16+00:00,3.89,16.5,75,244,2,21.716666666666665,10.747505755947817
2022-09-13 18:34:46+00:00,2022-09-13 18:51:57+00:00,4.5,16.5,75,223,1,17.183333333333334,15.71290009699321
2022-09-01 17:07:42+00:00,2022-09-01 17:31:03+00:00,3.05,16.5,197,216,2,23.35,7.837259100642397
2022-09-02 17:10:18+00:00,2022-09-02 17:33:28+00:00,3.07,16.5,197,216,2,23.166666666666668,7.951079136690646
2022-09-08 19:42:56+00:00,2022-09-08 20:06:07+00:00,3.43,16.5,65,188,2,23.183333333333334,8.87706685837527
2022-09-19 16:55:32+00:00,2022-09-19 17:22:24+00:00,1.9,16.5,97,97,2,26.866666666666667,4.2431761786600495
2022-09-21 17:06:10+00:00,2022-09-21 17:23:43+00:00,4.83,16.5,83,138,2,17.55,16.51282051282051
2022-09-22 19:09:49+00:00,2022-09-22 19:25:00+00:00,5.22,16.5,134,216,2,15.183333333333334,20.62788144895719
2022-09-22 19:47:04+00:00,2022-09-22 20:10:50+00:00,3.09,16.5,65,89,2,23.766666666666666,7.800841514726508
2022-09-26 18:31:47+00:00,2022-09-26 18:54:55+00:00,3.64,16.5,52,89,2,23.133333333333333,9.44092219020173
2022-09-28 16:54:34+00:00,2022-09-28 17:20:29+00:00,2.21,16.5,65,190,2,25.916666666666668,5.116398713826366
2022-09-28 18:08:24+00:00,2022-09-28 18:26:01+00:00,4.41,16.5,33,228,2,17.616666666666667,15.019867549668875
2022-09-27 15:17:59+00:00,2022-09-27 15:30:25+00:00,5.07,16.5,244,200,2,12.433333333333334,24.46648793565684
2022-09-14 19:19:05+00:00,2022-09-14 19:39:23+00:00,4.16,16.5,75,47,2,20.3,12.295566502463055
2022-09-02 17:58:46+00:00,2022-09-02 18:20:05+00:00,3.7,16.5,75,100,1,21.316666666666663,10.414386239249415
2022-09-05 18:41:24+00:00,2022-09-05 18:57:35+00:00,4.63,16.5,260,80,2,16.183333333333334,17.16580844490216
2022-09-09 17:24:05+00:00,2022-09-09 17:45:12+00:00,4.62,16.5,83,138,2,21.116666666666667,13.12707182320442
2022-09-15 17:43:00+00:00,2022-09-15 18:09:25+00:00,2.1,16.5,97,17,1,26.416666666666668,4.769716088328075
2022-09-24 11:48:17+00:00,2022-09-24 11:58:20+00:00,5.31,16.5,130,132,2,10.05,31.701492537313428
2022-09-02 11:44:58+00:00,2022-09-02 12:07:08+00:00,3.6,16.5,97,256,2,22.166666666666668,9.74436090225564
2022-09-03 00:44:29+00:00,2022-09-03 01:03:37+00:00,2.64,16.5,95,82,2,19.133333333333333,8.278745644599304
2022-09-29 20:09:01+00:00,2022-09-29 20:35:09+00:00,2.13,16.5,74,116,2,26.133333333333333,4.89030612244898
2022-09-01 11:33:15+00:00,2022-09-01 11:58:02+00:00,2.73,16.5,43,143,2,24.78333333333333,6.609280430396772
2022-09-02 09:27:16+00:00,2022-09-02 09:47:28+00:00,4.04,16.5,166,161,2,20.2,12.0
2022-09-04 16:05:03+00:00,2022-09-04 16:25:11+00:00,4.44,16.5,146,75,2,20.133333333333333,13.2317880794702
2022-09-05 12:01:41+00:00,2022-09-05 12:23:34+00:00,3.45,16.5,74,239,2,21.883333333333333,9.45925361766946
2022-09-08 09:28:39+00:00,2022-09-08 09:51:31+00:00,3.42,16.5,75,163,2,22.866666666666667,8.973760932944606
2022-09-12 12:59:44+00:00,2022-09-12 13:23:57+00:00,3.43,16.5,7,140,2,24.216666666666665,8.498279421885755
2022-09-12 14:44:28+00:00,2022-09-12 15:07:06+00:00,3.63,16.5,166,141,2,22.633333333333333,9.622974963181148
2022-09-12 14:27:53+00:00,2022-09-12 14:51:57+00:00,3.25,16.5,74,239,2,24.066666666666663,8.102493074792244
2022-09-17 09:40:51+00:00,2022-09-17 10:03:54+00:00,3.72,16.5,7,161,2,23.05,9.683297180043384
2022-09-19 14:54:05+00:00,2022-09-19 15:15:54+00:00,3.54,16.5,43,48,2,21.816666666666663,9.735676088617264
2022-09-25 14:26:22+00:00,2022-09-25 14:42:37+00:00,4.53,16.5,166,161,2,16.25,16.72615384615385
2022-09-25 15:36:13+00:00,2022-09-25 15:57:05+00:00,3.66,16.5,74,142,2,20.866666666666667,10.523961661341852
2022-09-25 19:43:32+00:00,2022-09-25 20:03:32+00:00,4.26,16.5,74,143,2,20.0,12.78
2022-09-26 12:47:45+00:00,2022-09-26 13:06:18+00:00,4.47,16.5,33,249,2,18.55,14.45822102425876
2022-09-27 08:58:00+00:00,2022-09-27 09:09:17+00:00,5.05,16.5,244,143,2,11.283333333333331,26.85376661742984
2022-09-27 13:39:22+00:00,2022-09-27 13:52:03+00:00,5.03,16.5,244,239,2,12.683333333333334,23.795006570302235
2022-09-27 16:00:06+00:00,2022-09-27 16:21:49+00:00,3.72,16.5,74,142,2,21.716666666666665,10.277820414428245
2022-09-29 08:47:16+00:00,2022-09-29 09:09:37+00:00,3.89,16.5,74,140,2,22.35,10.442953020134228
