pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id
2022-09-06 10:42:00.000000 UTC,2022-09-06 10:50:00.000000 UTC,1.18,9.9,226,226,2
2022-09-06 11:24:00.000000 UTC,2022-09-06 11:32:00.000000 UTC,1.06,9.9,33,40,2
2022-09-06 12:24:00.000000 UTC,2022-09-06 12:27:00.000000 UTC,0.39,9.9,74,74,2
2022-09-06 13:29:00.000000 UTC,2022-09-06 13:34:00.000000 UTC,0.74,9.9,243,243,2
2022-09-06 13:39:00.000000 UTC,2022-09-06 13:42:00.000000 UTC,0.52,9.9,116,116,2
2022-09-06 14:03:00.000000 UTC,2022-09-06 14:06:00.000000 UTC,0.55,9.9,52,33,2
2022-09-06 15:39:00.000000 UTC,2022-09-06 16:02:00.000000 UTC,1.84,9.9,93,92,2
2022-09-06 15:10:00.000000 UTC,2022-09-06 15:28:00.000000 UTC,1.64,9.9,49,61,2
2022-09-06 20:51:00.000000 UTC,2022-09-06 20:58:00.000000 UTC,1.39,9.9,75,74,2
2022-09-07 02:06:00.000000 UTC,2022-09-07 02:10:00.000000 UTC,0.56,9.9,61,62,2
2022-09-07 06:49:00.000000 UTC,2022-09-07 06:55:00.000000 UTC,1.12,9.9,7,223,2
2022-09-07 10:19:00.000000 UTC,2022-09-07 10:25:00.000000 UTC,0.86,9.9,243,243,2
2022-09-07 11:15:00.000000 UTC,2022-09-07 11:30:00.000000 UTC,1.2,9.9,106,181,2
2022-09-07 11:48:00.000000 UTC,2022-09-07 11:53:00.000000 UTC,0.71,9.9,159,168,2
2022-09-07 14:05:00.000000 UTC,2022-09-07 14:09:00.000000 UTC,0.69,9.9,7,146,2
2022-09-07 15:51:00.000000 UTC,2022-09-07 15:57:00.000000 UTC,0.57,9.9,173,93,2
2022-09-07 20:52:00.000000 UTC,2022-09-07 20:58:00.000000 UTC,1.14,9.9,40,25,2
2022-09-08 10:35:00.000000 UTC,2022-09-08 10:40:00.000000 UTC,5.71,9.9,166,41,2
2022-09-08 10:39:00.000000 UTC,2022-09-08 10:44:00.000000 UTC,1.11,9.9,166,24,2
2022-09-08 11:29:00.000000 UTC,2022-09-08 11:32:00.000000 UTC,0.6,9.9,166,166,2
2022-09-08 12:22:00.000000 UTC,2022-09-08 12:31:00.000000 UTC,1.31,9.9,42,116,2
2022-09-08 12:41:00.000000 UTC,2022-09-08 12:44:00.000000 UTC,0.58,9.9,196,82,2
2022-09-08 13:34:00.000000 UTC,2022-09-08 13:46:00.000000 UTC,1.61,9.9,41,75,2
2022-09-08 14:57:00.000000 UTC,2022-09-08 15:04:00.000000 UTC,1.4,9.9,166,116,2
2022-09-08 19:28:00.000000 UTC,2022-09-08 19:38:00.000000 UTC,1.29,9.9,25,106,2
2022-09-08 20:55:00.000000 UTC,2022-09-08 21:01:00.000000 UTC,1.11,9.9,41,166,2
2022-09-08 21:10:00.000000 UTC,2022-09-08 21:17:00.000000 UTC,0.88,9.9,166,41,2
2022-09-09 07:13:00.000000 UTC,2022-09-09 07:21:00.000000 UTC,1.22,9.9,41,24,2
2022-09-09 07:25:00.000000 UTC,2022-09-09 07:30:00.000000 UTC,1.07,9.9,7,223,2
2022-09-09 08:40:00.000000 UTC,2022-09-09 08:48:00.000000 UTC,1.46,9.9,116,166,2
2022-09-09 10:48:00.000000 UTC,2022-09-09 10:56:00.000000 UTC,1.13,9.9,166,152,2
2022-09-09 11:05:00.000000 UTC,2022-09-09 11:16:00.000000 UTC,0.88,9.9,193,146,2
2022-09-09 12:37:00.000000 UTC,2022-09-09 12:46:00.000000 UTC,1.14,9.9,243,244,2
2022-09-09 13:08:00.000000 UTC,2022-09-09 13:15:00.000000 UTC,0.86,9.9,152,166,2
2022-09-09 13:25:00.000000 UTC,2022-09-09 13:35:00.000000 UTC,1.7,9.9,41,116,2
2022-09-09 20:18:00.000000 UTC,2022-09-09 20:30:00.000000 UTC,1.5,9.9,116,41,2
2022-09-09 20:24:00.000000 UTC,2022-09-09 20:35:00.000000 UTC,1.73,9.9,40,181,2
2022-09-10 10:06:00.000000 UTC,2022-09-10 10:11:00.000000 UTC,0.67,9.9,77,77,2
2022-09-10 11:23:00.000000 UTC,2022-09-10 11:42:00.000000 UTC,1.34,9.9,193,202,2
2022-09-10 20:41:00.000000 UTC,2022-09-10 20:48:00.000000 UTC,1.31,9.9,226,7,2
2022-09-10 20:32:00.000000 UTC,2022-09-10 20:37:00.000000 UTC,0.76,9.9,166,166,2
2022-09-10 21:20:00.000000 UTC,2022-09-10 21:27:00.000000 UTC,0.82,9.9,145,193,2
2022-09-11 10:07:00.000000 UTC,2022-09-11 10:14:00.000000 UTC,1.15,9.9,41,166,2
2022-09-11 20:51:00.000000 UTC,2022-09-11 20:56:00.000000 UTC,0.7,9.9,97,97,2
2022-09-12 06:50:00.000000 UTC,2022-09-12 07:00:00.000000 UTC,1.13,9.9,41,74,2
